title,Link
"In Bangladesh, inflation control needs an iconoclastic approach ",https://www.thedailystar.net/opinion/views/news/bangladesh-inflation-control-needs-iconoclastic-approach-3839446
Can the NCP succeed in building an inclusive Bangladesh?,https://www.thedailystar.net/opinion/views/news/can-the-ncp-succeed-building-inclusive-bangladesh-3839096
"How a key ingredient in Coca-Cola, M&M's is smuggled from war-torn Sudan",https://www.thedailystar.net/business/news/how-key-ingredient-coca-cola-mms-smuggled-war-torn-sudan-3840086
Dhaka stocks rising since morning,https://www.thedailystar.net/business/news/dhaka-stocks-rising-morning-3840051
Exports edge up in further relief to economy,https://www.thedailystar.net/business/news/exports-edge-further-relief-economy-3839841
"Bangladesh doesn’t need IMF funds, but right policies: governor",https://www.thedailystar.net/business/news/bangladesh-doesnt-need-imf-funds-right-policies-governor-3839836
Bangladeshis burdened with high internet taxes,https://www.thedailystar.net/business/news/bangladeshis-burdened-high-internet-taxes-3839831
Square Pharma’s Tapan Chowdhury to buy over Tk 32 crore worth of shares,https://www.thedailystar.net/business/news/square-pharmas-tapan-chowdhury-buy-over-tk-32-crore-worth-shares-3839826
Businesses demand easing rules to enjoy tax benefits,https://www.thedailystar.net/business/news/businesses-demand-easing-rules-enjoy-tax-benefits-3839821
"আদালতে যা বললেন শাজাহান খান, ফারজানা রুপা ও সোলায়মান সেলিম",https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/crime-justice/news-656006
হাসিনার উপস্থিতি বা অনুপস্থিতিতে বিচার হবেই: স্কাই নিউজকে ড. ইউনূস,https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/news-655951
বসুন্ধরায় দুই ইরানি নাগরিকের ওপর হামলায় গ্রেপ্তার ২,https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/crime-justice/news-656011
"রাজধানীসহ বিভিন্ন স্থানে ভূমিকম্প অনুভূত, মাত্রা ৫.৬ ",https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/news-655976
হত্যা মামলায় ২ দিনের রিমাণ্ডে বিচারপতি মানিক,https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/crime-justice/news-655996
"ভারতের বাড়তি সুবিধা পাওয়া নিয়ে স্মিথ, 'যোগ্য দল হিসেবে জিতেছে'",https://www.thedailystar.nethttps://bangla.thedailystar.net/sports/sports-special/icc-champions-trophy-2025/news-656001
পুতুলের সূচনা ফাউন্ডেশনের ১৪ ব্যাংক অ্যাকাউন্ট জব্দের আদেশ,https://www.thedailystar.nethttps://bangla.thedailystar.net/news/bangladesh/crime-justice/news-655991
পাকিস্তানের সেনানিবাসে আত্মঘাতী বোমা হামলায় নিহত ১২,https://www.thedailystar.nethttps://bangla.thedailystar.net/international/news-655986
"Liverpool, PSG ready for blockbuster clash",https://www.thedailystar.net/sports/football/news/liverpool-psg-ready-blockbuster-clash-3840041
'Chase master' Kohli lauded after taking India to brink of Champions glory,https://www.thedailystar.net/sports/cricket/champions-trophy-2025/news/chase-master-kohli-lauded-after-taking-india-brink-champions-glory-3840021
India great Gavaskar backs Rohit after fat-shaming row,https://www.thedailystar.net/sports/cricket/champions-trophy-2025/news/india-great-gavaskar-backs-rohit-after-fat-shaming-row-3839991
Diaz earns Real lead on Atletico in Champions League derby clash,https://www.thedailystar.net/sports/football/news/diaz-earns-real-lead-atletico-champions-league-derby-clash-3839941
 / Bangladesh open their campaign against India,https://www.thedailystar.net/sports/more-sports/news/bangladesh-open-their-campaign-against-india-3840011
New Zealand vs South Africa: Key stats ,https://www.thedailystar.net/sports/cricket/champions-trophy-2025/news/new-zealand-vs-south-africa-key-stats-3839996
7-star Arsenal crush PSV,https://www.thedailystar.net/sports/football/news/7-star-arsenal-crush-psv-3839946
 / Can Bangladesh prove Ponting wrong? ,https://www.thedailystar.net/sports/cricket/champions-trophy-2025/news/can-bangladesh-prove-ponting-wrong-3822536
'China is strong': lawmakers bullish despite 'turbulent' world,https://www.thedailystar.net/news/world/news/china-strong-lawmakers-bullish-despite-turbulent-world-3840141
July uprising: Justice Manik on 2-day remand in murder case,https://www.thedailystar.net/news/bangladesh/crime-justice/news/july-uprising-justice-manik-2-day-remand-murder-case-3840071
"'America is back,' Trump declares in divisive Congress speech",https://www.thedailystar.net/news/world/news/america-back-trump-declares-divisive-congress-speech-3840066
ACC asked to freeze 14 bank accounts of Putul's Shuchona Foundation,https://www.thedailystar.net/news/bangladesh/crime-justice/news/acc-asked-freeze-14-bank-accounts-putuls-shuchona-foundation-3840036
"Subscribe to the largest circulating English daily on your mobile, just as print ",https://www.thedailystar.nethttps://epaper.thedailystar.net
"Zelensky calls Trump clash 'regrettable', says 'time to make things right'",https://www.thedailystar.net/news/world/news/zelensky-calls-trump-clash-regrettable-says-time-make-things-right-3840001
A luxurious yet thrilling bus journey from Islamabad to Lahore,https://www.thedailystar.net/sports/cricket/champions-trophy-2025/news/luxurious-yet-thrilling-bus-journey-islamabad-lahore-3838481
USAID fund cut: Job losses shock development workers,https://www.thedailystar.net/news/bangladesh/news/usaid-fund-cut-job-losses-shock-development-workers-3839091
Zika cluster detected in Mohakhali,https://www.thedailystar.net/health/disease/news/zika-cluster-detected-mohakhali-3838701
"Is smoking the problem, or that women are doing it?",https://www.thedailystar.net/opinion/views/news/smoking-the-problem-or-women-are-doing-it-3839356
Four killed in Shahjadpur building fire,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/four-killed-shahjadpur-building-fire-3838531
"Mob storms a Gulshan house, claiming it belongs to HT Imam's son",https://www.thedailystar.net/news/bangladesh/crime-justice/news/mob-storms-gulshan-house-claiming-it-belongs-ht-imams-son-3840171
Sophos posts research on new SVG phishing cyberthreat,https://www.thedailystar.net/tech-startup/news/sophos-posts-research-new-svg-phishing-cyberthreat-3840166
"Two arrested over attack, robbery of Iranian citizens in Bashundhara R/A",https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-arrested-over-attack-robbery-iranian-citizens-bashundhara-ra-3840161
CanCham President Masudur Rahman passes away,https://www.thedailystar.net/business/news/cancham-president-masudur-rahman-passes-away-3840156
Rohingya leader hacked to death in Cox’s Bazar,https://www.thedailystar.net/news/bangladesh/news/rohingya-leader-hacked-death-coxs-bazar-3840151
RU students block railway protesting dominance of DU-affiliated individuals in govt ,https://www.thedailystar.net/news/bangladesh/news/ru-students-block-railway-protesting-dominance-du-affiliated-individuals-govt-3840146
Up to $1.5b World Bank loans to be repurposed,https://www.thedailystar.net/business/economy/news/15b-world-bank-loans-be-repurposed-3727631
AI startups to watch out for in 2025,https://www.thedailystar.net/tech-startup/news/ai-startups-watch-out-2025-3800526
"Public medical colleges: 86 doctors, 136 students punished since August 5",https://www.thedailystar.net/news/bangladesh/crime-justice/news/public-medical-colleges-86-doctors-136-students-punished-august-5-3726826
"Age limit for govt job entry: 35yrs for men, 37 for women",https://www.thedailystar.net/news/bangladesh/news/age-limit-govt-job-entry-35yrs-men-37-women-3726186
"Price hike of essentials: Poor, middle class in a tight corner",https://www.thedailystar.net/health/food/price-essentials/news/price-hike-essentials-poor-middle-class-tight-corner-3725516
Primary schools barely looked after,https://www.thedailystar.net/news/bangladesh/education/news/primary-schools-barely-looked-after-3724966
A different Dhaka in Ramadan,https://www.thedailystar.net/my-dhaka/news/different-dhaka-ramadan-3838151
"Food, Art, and Resilience: ‘Thil’ brings culture, healing to table",https://www.thedailystar.net/my-dhaka/news/food-art-and-resilience-thil-brings-culture-healing-table-3837291
Mro-language film ‘Dear Mother’ to be screened at Cambridge,https://www.thedailystar.net/entertainment/tv-film/news/mro-language-film-dear-mother-be-screened-cambridge-3840061
David Warner to make Tollywood debut with ‘Robinhood’,https://www.thedailystar.net/entertainment/tv-film/news/david-warner-make-tollywood-debut-robinhood-3840046
Telugu singer Kalpana Raghavendar in hospital after suspected suicide attempt,https://www.thedailystar.net/arts-entertainment/music/news/telugu-singer-kalpana-raghavendar-hospital-after-suspected-suicide-attempt-3840131
Millie Bobby Brown calls out journalists for 'bullying' her over appearance ,https://www.thedailystar.net/entertainment/tv-film/news/millie-bobby-brown-calls-out-journalists-bullying-her-over-appearance-3840031
The audience is in for a lot of surprises in ‘Jinn 3’: Shajal Noor,https://www.thedailystar.net/entertainment/tv-film/news/the-audience-lot-surprises-jinn-3-shajal-noor-3839521
‘A dream come true’: Rupanty Akid makes Hindi film debut,https://www.thedailystar.net/entertainment/tv-film/news/dream-come-true-rupanty-akid-makes-hindi-film-debut-3838781
"Social media star 'Sontu' passes away, leaving fans heartbroken",https://www.thedailystar.net/entertainment/news/social-media-star-sontu-passes-away-leaving-fans-heartbroken-3839346
Adrien Brody breaks longest Oscars speech record,https://www.thedailystar.net/entertainment/tv-film/news/adrien-brody-breaks-longest-oscars-speech-record-3839281
 / Tasnuva Islam champions weavers with ethical commerce ,https://www.thedailystar.net/life-living/news/tasnuva-islam-champions-weavers-ethical-commerce-3838886
 / Rewriting the rules of fashion: In conversation with Azra Mahmood,https://www.thedailystar.net/life-living/news/rewriting-the-rules-fashion-conversation-azra-mahmood-3838881
"The Silent Struggle: Protecting Bangladesh’s Wildlife, from Forests to Cities",https://www.thedailystar.net/life-living/news/the-silent-struggle-protecting-bangladeshs-wildlife-forests-cities-3838891
"Work out, not burn out: Your Ramadan workout guide",https://www.thedailystar.net/life-living/health-fitness/news/work-out-not-burn-out-your-ramadan-workout-guide-3838871
Why jilapi is the undisputed king of iftar delights,https://www.thedailystar.net/life-living/food-recipes/news/why-jilapi-the-undisputed-king-iftar-delights-3837771
 / How Daniel Rahman turned Radio Foorti into Bangladesh's youth phenomenon,https://www.thedailystar.net/life-living/news/how-daniel-rahman-turned-radio-foorti-bangladeshs-youth-phenomenon-3837786
Indulge in these delectable date-based sweet treats,https://www.thedailystar.net/life-living/food-recipes/news/indulge-these-delectable-date-based-sweet-treats-3837761
Earthy hues dominate Eid fashion: Are you in? ,https://www.thedailystar.net/life-living/fashion-beauty/news/earthy-hues-dominate-eid-fashion-are-you-3837756
Bangladeshi researchers at Shanghai Ocean University mark breakthrough in fish species,https://www.thedailystar.net/campus/news/bangladeshi-researchers-shanghai-ocean-university-mark-breakthrough-fish-species-3839596
What it takes to run an online handmade jewellery business as a young entrepreneur,https://www.thedailystar.net/campus/campus/news/what-it-takes-run-online-handmade-jewellery-business-young-entrepreneur-3839436
In photos: Ramadan at BUET’s Ahsan Ullah Hall,https://www.thedailystar.net/campus/campus-life/news/photos-ramadan-buets-ahsan-ullah-hall-3837696
"Manikganj youth builds aircraft, flies it",https://www.thedailystar.net/youth/news/manikganj-youth-builds-aircraft-flies-it-3839651
The enduring presence of cats in Japanese literature,https://www.thedailystar.net/rising-stars/interests/news/the-enduring-presence-cats-japanese-literature-3834991
The relationship between consumerism and the climate crisis: Explained ,https://www.thedailystar.net/rising-stars/explained/news/the-relationship-between-consumerism-and-the-climate-crisis-explained-3834996
What is happening at KUET?,https://www.thedailystar.net/campus/news/what-happening-kuet-3834616
Why studying abroad is becoming harder for Bangladeshi students,https://www.thedailystar.net/rising-stars/news/why-studying-abroad-becoming-harder-bangladeshi-students-3834336
Anthropic raises $3.5 bln in series E: Valued at $61.5 Billion,https://www.thedailystar.net/tech-startup/news/anthropic-raises-35-bln-series-e-valued-615-billion-3839431
 / Inside Uber’s operations in Bangladesh: A chat with Nasheed Ferdous Kamal,https://www.thedailystar.net/tech-startup/news/inside-ubers-operations-bangladesh-chat-nasheed-ferdous-kamal-3839276
 / How to stay productive at work while fasting,https://www.thedailystar.net/tech-startup/news/how-stay-productive-work-while-fasting-3839261
Foodpanda launches ‘Grand Iftar Bazar’ in Banani,https://www.thedailystar.net/tech-startup/news/foodpanda-launches-grand-iftar-bazar-banani-3839416
"OpenAI launches GPT-4.5, its most capable model yet",https://www.thedailystar.net/tech-startup/news/openai-launches-gpt-45-its-most-capable-model-yet-3838556
Grubhub to fire 500 employees,https://www.thedailystar.net/tech-startup/news/grubhub-fire-500-employees-3837646
 / Sophos posts research on new SVG phishing cyberthreat,https://www.thedailystar.net/tech-startup/news/sophos-posts-research-new-svg-phishing-cyberthreat-3840166
Google Sheets is now upgraded with Gemini AI,https://www.thedailystar.net/tech-startup/news/google-sheets-now-upgraded-gemini-ai-3837571
 / Water cannon and the story of a protesting mother,https://www.thedailystar.net/star-multimedia/news-multimedia/news/water-cannon-and-the-story-protesting-mother-3833686
How accurate is Trump's claim about $29 million?,https://www.thedailystar.net/star-multimedia/views-multimedia/news/how-accurate-trumps-claim-about-29-million-3833676
"Starlink: Yunus asks Musk to come over, launch it within 90 days",https://www.thedailystar.net/tech-startup/news/starlink-yunus-asks-musk-come-over-launch-it-within-90-days-3831371
How to easily match prize bond lottery,https://www.thedailystar.net/star-multimedia/news-multimedia/news/how-easily-match-prize-bond-lottery-3831496
Which savings certificate offers the highest returns?,https://www.thedailystar.net/star-multimedia/business-multimedia/news/which-savings-certificate-offers-the-highest-returns-3824841
 / Between tradition and taboo: The arranged marriage trope in Bangla dark romance literature,https://www.thedailystar.net/culture/books/news/between-tradition-and-taboo-the-arranged-marriage-trope-bangla-dark-romance-literature-3834921
 / Celebrating diversity and language at “Bhasha Utshob 2025”,https://www.thedailystar.net/culture/books/news/celebrating-diversity-and-language-bhasha-utshob-2025-3834916
Bangla eBook reader apps you can try out,https://www.thedailystar.net/tech-startup/news/bangla-ebook-reader-apps-you-can-try-out-3829201
 / Personalistic authoritarianism and Bangladesh: Reading Ali Riaz’s ‘Ami E Rashtro’,https://www.thedailystar.net/culture/books/news/personalistic-authoritarianism-and-bangladesh-reading-ali-riazs-ami-e-rashtro-3828806
 / 5 books to look out for at this year’s Boi Mela,https://www.thedailystar.net/culture/books/news/5-books-look-out-years-boi-mela-3828801
 / Silent verses on a bed of arrows,https://www.thedailystar.net/books-literature/news/silent-verses-bed-arrows-3826226
" / Desire, Identity, and the boundaries of silence",https://www.thedailystar.net/books-literature/news/desire-identity-and-the-boundaries-silence-3825026
 / The space for indigeneity:  Discussing ‘Ethnicity and Adivasi Identity in Bangladesh’,https://www.thedailystar.net/books-literature/news/the-space-indigeneity-discussing-ethnicity-and-adivasi-identity-bangladesh-3825021
 / Our gentle giants in peril,https://www.thedailystar.net/environment/wild-life/news/our-gentle-giants-peril-3838251
"Lawachhara forest: Vanishing streams, dying wildlife",https://www.thedailystar.net/environment/natural-resources/news/lawachhara-forest-vanishing-streams-dying-wildlife-3837861
Nations fail to break deadlock on UN climate report timing,https://www.thedailystar.net/environment/climate-change/news/nations-fail-break-deadlock-un-climate-report-timing-3837451
Fuel prices to remain unchanged in March,https://www.thedailystar.net/environment/natural-resources/energy/news/fuel-prices-remain-unchanged-march-3836841
Dhaka’s air most polluted in the world this morning,https://www.thedailystar.net/environment/pollution/air-pollution/news/dhakas-air-most-polluted-the-world-morning-3836731
Man killed in elephant attack,https://www.thedailystar.net/environment/natural-resources/wildlife/news/man-killed-elephant-attack-3836276
Khan Jahan Ali and his lasting legacy in Bagerhat,https://www.thedailystar.net/environment/natural-resources/news/khan-jahan-ali-and-his-lasting-legacy-bagerhat-3836196
Rangpur jolted by late-night earthquake,https://www.thedailystar.net/news/bangladesh/news/rangpur-jolted-late-night-earthquake-3836051
Today's Gallery (2025.03.05),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250305-3839971
Today's Gallery (2025.03.04),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250304-3839196
Today's Gallery (2025.03.03),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250303-3838311
Today's Gallery (2025.03.02),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250302-3837341
Today's Gallery (2025.03.01),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250301-3836606
Today's Gallery (2025.02.28),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250228-3835986
Today's Gallery (2025.02.26),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250226-3834056
Today's Gallery (2025.02.25),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250225-3833071
Today's Gallery (2025.02.24),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250224-3832151
Today's Gallery (2025.02.23),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20250223-3831186
